,20
mean_fit_time,1.2506256699562073
std_fit_time,0.06298226739011878
mean_score_time,0.1779724359512329
std_score_time,0.012374327270953986
param_Kmean,
param_pca,PCA(n_components=0.95)
param_scaler,
params,"{'Kmean': None, 'pca': PCA(n_components=0.95), 'scaler': None}"
mean_test_accuracy,0.653
std_test_accuracy,0.016985287751463043
rank_test_accuracy,1
mean_train_accuracy,0.7691666666666668
std_train_accuracy,0.003484090826727791
mean_test_f1_weighted,0.6609910004525628
std_test_f1_weighted,0.017830902266803755
rank_test_f1_weighted,1
mean_train_f1_weighted,0.7751275533497901
std_train_f1_weighted,0.003569095155988207
mean_test_roc_auc_ovr,0.9162720181826678
std_test_roc_auc_ovr,0.005445890073736656
rank_test_roc_auc_ovr,1
mean_train_roc_auc_ovr,0.9582621699702523
std_train_roc_auc_ovr,0.0015837616319856094
best_final_test_accuracy,0.729
best_final_test_roc_ovr,0.9422505125100097
best_final_test_f1_weighted,0.7409996134424706
