,729
mean_fit_time,4.142761766910553
std_fit_time,0.10953426583785666
mean_score_time,1.870670735836029
std_score_time,0.06020236898444315
param_clf__C,2.0
param_clf__gamma,0.07142857142857142
param_clf__kernel,rbf
param_pca__n_components,0.99
params,"{'clf__C': 2.0, 'clf__gamma': 0.07142857142857142, 'clf__kernel': 'rbf', 'pca__n_components': 0.99}"
mean_test_accuracy,0.7595000000000001
std_test_accuracy,0.02994578434437812
rank_test_accuracy,1
mean_train_accuracy,0.9984999999999999
std_train_accuracy,0.0007264831572567881
mean_test_f1_weighted,0.7616286189927644
std_test_f1_weighted,0.0282311090376786
rank_test_f1_weighted,1
mean_train_f1_weighted,0.9985004662720086
std_train_f1_weighted,0.000726508511073051
mean_test_roc_auc_ovr,0.9665927391937792
std_test_roc_auc_ovr,0.003443929149797732
rank_test_roc_auc_ovr,1
mean_train_roc_auc_ovr,0.9999985719679669
std_train_roc_auc_ovr,8.844765679972446e-07
best_final_test_accuracy,0.876
best_final_test_roc_ovr,0.9897127732321171
best_final_test_f1_weighted,0.876545667567547
