,svm,rf,mlp,nb
Index,1097,271,711,20
mean_fit_time,33.5392290353775,21.348543107509613,43.610154151916504,1.2506256699562073
std_fit_time,6.906485043619372,0.21507934343764065,1.014919410569573,0.06298226739011878
mean_score_time,9.262015521526337,0.33129608631134033,0.1270732283592224,0.1779724359512329
std_score_time,0.6007552809264223,0.030680197605130455,0.009635993088847435,0.012374327270953986
mean_test_accuracy,0.801,0.69675,0.75925,0.653
std_test_accuracy,0.0104163333279998,0.022487496525847396,0.004763139720814417,0.016985287751463043
rank_test_accuracy,1,1,1,1
mean_train_accuracy,0.9973333333333333,1.0,0.9836666666666667,0.7691666666666668
std_train_accuracy,0.0008498365855988236,0.0,0.012556538801224888,0.003484090826727791
mean_test_f1_weighted,0.8025929607719093,0.6989668929960533,0.7586830995573104,0.6609910004525628
std_test_f1_weighted,0.010748050215393015,0.02205365741548811,0.004899704915427177,0.017830902266803755
rank_test_f1_weighted,1,1,1,1
mean_train_f1_weighted,0.9973384760817625,1.0,0.9836694024859456,0.7751275533497901
std_train_f1_weighted,0.0008472730679135966,0.0,0.012550198021691238,0.003569095155988207
mean_test_roc_auc_ovr,0.9770234292985145,0.939304616439252,0.968155879563716,0.9162720181826678
std_test_roc_auc_ovr,0.002022420570760108,0.005037271624393447,0.0005302546845526436,0.005445890073736656
rank_test_roc_auc_ovr,1,1,1,1
mean_train_roc_auc_ovr,0.999997602113338,1.0,0.9998906334954245,0.9582621699702523
std_train_roc_auc_ovr,1.2142851718486561e-06,0.0,0.00013355700349788405,0.0015837616319856094
best_final_test_accuracy,0.964,0.679,0.916,0.729
best_final_test_roc_ovr,0.9992627306108229,0.9421334015499617,0.9933818368524152,0.9422505125100097
best_final_test_f1_weighted,0.9638548015165681,0.6834874428625927,0.9166114548206538,0.7409996134424706
