,249
mean_fit_time,75.5146564245224
std_fit_time,4.017492669496358
mean_score_time,5.75344318151474
std_score_time,0.21164291916351288
param_max_depth,70
param_max_features,log2
param_n_estimators,850
params,"{'max_depth': 70, 'max_features': 'log2', 'n_estimators': 850}"
split0_test_score,0.8448
split1_test_score,0.84832
split2_test_score,0.84208
split3_test_score,0.84944
mean_test_score,0.84616
std_test_score,0.0029120439557121756
rank_test_score,1
split0_train_score,0.9999466666666667
split1_train_score,0.9999466666666667
split2_train_score,1.0
split3_train_score,0.9999466666666667
mean_train_score,0.9999600000000001
std_train_score,2.3094010767592102e-05
best_final_test,0.84412
best_cv_test,0.84616
best_cv_train,0.9999600000000001
