,15
mean_fit_time,66.31107050180435
std_fit_time,0.38202790383624474
mean_score_time,0.7486635446548462
std_score_time,0.04323742971388439
param_max_depth,
param_max_features,sqrt
param_n_estimators,400
params,"{'max_depth': None, 'max_features': 'sqrt', 'n_estimators': 400}"
split0_test_score,0.83264
split1_test_score,0.83728
split2_test_score,0.82944
split3_test_score,0.83328
mean_test_score,0.8331600000000001
std_test_score,0.002788261106854974
rank_test_score,1
split0_train_score,1.0
split1_train_score,1.0
split2_train_score,1.0
split3_train_score,1.0
mean_train_score,1.0
std_train_score,0.0
final_test,0.83472
