,14
mean_fit_time,202.34075051546097
std_fit_time,14.47178747999084
mean_score_time,15.70475322008133
std_score_time,0.6972991599382162
param_clf__C,0.2
param_clf__gamma,1.0
param_clf__kernel,poly
params,"{'clf__C': 0.2, 'clf__gamma': 1.0, 'clf__kernel': 'poly'}"
split0_test_score,0.8664
split1_test_score,0.8676
split2_test_score,0.8816
split3_test_score,0.8784
mean_test_score,0.8735
std_test_score,0.006611353870426251
rank_test_score,1
split0_train_score,0.9714666666666667
split1_train_score,0.9632
split2_train_score,0.9713333333333334
split3_train_score,0.9708
mean_train_score,0.9692000000000001
std_train_score,0.003473071007368331
best_final_test,0.838
best_cv_test,0.8735
best_cv_train,0.9692000000000001
