,21
mean_fit_time,0.006589710712432861
std_fit_time,0.0030282122144871353
mean_score_time,0.0007261037826538086
std_score_time,8.508545817910581e-05
param_alpha,0.21
params,{'alpha': 0.21}
split0_test_score,0.6052436952899654
split1_test_score,0.6010076828873177
split2_test_score,0.5946907422545507
split3_test_score,0.6185872571494901
mean_test_score,0.604882344395331
std_test_score,0.008758381186980357
rank_test_score,1
split0_train_score,0.6056854495887198
split1_train_score,0.6072523252854863
split2_train_score,0.6092210751647267
split3_train_score,0.6012482786323003
mean_train_score,0.6058517821678083
std_train_score,0.0029382634178992096
best_final_test,0.6043793992130073
best_cv_test,0.604882344395331
best_cv_train,0.6058517821678083
