,gb
Index,138
mean_fit_time,3.0721352100372314
std_fit_time,0.17360566320392115
mean_score_time,0.001826167106628418
std_score_time,7.43228573555367e-05
param_learning_rate,0.21947368421052632
param_max_depth,3
param_n_estimators,19
params,"{'learning_rate': 0.21947368421052632, 'max_depth': 3, 'n_estimators': 19}"
split0_test_score,0.9333333333333333
split1_test_score,0.947075208913649
split2_test_score,0.8997214484679665
split3_test_score,0.9415041782729805
mean_test_score,0.9304085422469823
std_test_score,0.018378948855280845
rank_test_score,1
split0_train_score,1.0
split1_train_score,1.0
split2_train_score,1.0
split3_train_score,1.0
mean_train_score,1.0
std_train_score,0.0
best_final_test,0.9166666666666666
best_cv_test,0.9304085422469823
best_cv_train,1.0
